"from","to","quote","chain_id","attribution","domain","statement_id","attributionValence","attributionExplicit"
5,83,"while income is decreased due to low agricultural production related to weather conditions.",167,"6","Expenditure and Savings",122,-1,1
20,64,"[In the last three years there is change in community development like the community is working in rural community roads, constructing local bridges, rehabilitating environment and other community works are taking place.] There is change and improvement in our community in last three years. The community is working through discussion and cooperation. This is because we are concerned for our community and solve our community problem in collaboration with government and NGO.",168,"3","Relationships (Community)",123,1,2
17,44,"In the last three years, my family is in good health. In terms of health, things have been improved a lot since the establishment of health care centre in the nearby village. We can easily access health services like getting injections, and other medicine whenever one of my family members does not feel good.",169,"5","Health and Education",124,1,1
13,47,"There is a good deal of improvement in terms of access to clean water for drinking and other household purpose. The government built water pipe. There is also an organization called sendika"" which helped me with planting water well. Water well was drilled to extract water. As result, we have no problem with getting clean water for drinking and other uses.",170,"1","Health and Education",124,1,3
5,83,"Climate change is affecting our farming production. Sometimes the weather gets better, sometimes it gets worse. I am harvesting less and less as result of bad weather condition.",171,"6","Farming and Food",125,-1,1
42,51,NA,172,"5","Income from other sources",126,1,1
21,56,"I have also been saving in kind. I am member of in-kind saving team. We save iron sheet' that helps in building house. I have debt which is to be paid sometimes in future. But this change is good because there are improvements in our life. In the last three years, I managed to build new house. [Ranked Orgs: Send a Cow savings.]",173,"1","Expenditure and Savings",127,1,3
10,63,"In the last three years, I have been involved in various community level activities such as road repairing and other development activities. For example, here, the local school has been growing potatoes with the help of the organization called sendika'. Last time, we have helped the school with harvesting and weeding crops.",174,"1","Relationships (Community)",128,1,3
42,51,NA,175,"5","Overall Wellbeing",129,1,1
21,56,NA,176,"1","Links to other organisations",130,1,3
17,44,"In the last three years, our health condition is getting better and better. My family pays 200 birr per year in order to secure health insurance. We have been provided with health insurance documents. So we have access to health care services for free since we have already paid the yearly premium. In addition, health extensions have been educating us a lot about hygiene and sanitation practices.",177,"5","Health and Education",131,1,1
7,44,"In the last three years, our health condition is getting better and better. My family pays 200 birr per year in order to secure health insurance. We have been provided with health insurance documents. So we have access to health care services for free since we have already paid the yearly premium. In addition, health extensions have been educating us a lot about hygiene and sanitation practices.",178,"3","Health and Education",131,1,2
18,69,"Previously, we have been struggling with sending our children to schools because of lack of educational facilities on nearby village, but now they moved to our place following construction of school in places nearby our village. With respect to education, things are much better than the previous years.",179,"5","Health and Education",131,1,1
15,49,"We have been producing maize, beans and peas. In addition, we have been growing vegetable, cabbage and fruits with support of organization called Sendika'. 'Sendika' give us seeds of cabbage, carrot and other vegetables. They also educate us to grow vegetables.  'Sendika' has been giving us seeds of variety of vegetable. The vegetable seeds helped us a lot. Since last year, 'Sendika' is no longer providing us support.",180,"1","Farming and Food",132,1,3
39,83,"However, in the last three years, we are producing crops in lesser in quantity. Especially, we produce maize in lesser quantity compared to the previous years. As a result, we have been impoverished. We are no longer getting fertilizer from the Kebele. We dont have many cattle because finding pasture land where our cattle graze becomes difficult. We have one ox, milk cow and sheep. Previously, the Kebele has given us improved seeds of wheat and peas once we buy fertilizer from the Kebele. We have also given seeds of potatoes from the kebele.  However, that is no longer the case. The kebele ceased to give us seeds as well as fertilizer.",181,"6","Farming and Food",132,-1,1
5,83,"The reasons are basically attributed to bad weather condition, and wrong use of fertilizer. We have used fertilizer but it did not help. Previously, we have been producing abundantly. Hence, we used to have surplus crops for market. However, in the last three years, we dont even have enough crops for household consumption. [We have to buy food from market].",182,"6","Farming and Food",133,-1,1
21,48,NA,183,"1","Links to other organisations",134,1,3
13,47,"In the last three years, things have been improved a lot with respect to health. We also have access to clean water because of construction of water pipes in our village. There is an organization called Sendika which planted water pipe which improved access to clean water for drinking and other uses.",184,"1","Health and Education",135,1,3
17,47,"In the last three years, things have been improved a lot with respect to health. Health care facilities provide quality health services compared to the old days. Moreover, hygiene and sanitation practice has also been improved due to team works arranged by government.",185,"5","Health and Education",135,1,1
3,86,"Currently, I am producing beans in lesser quantity. I mainly produce for household consumption. However, farming activity is not promising. The small size of my farmland coupled with lack of ox prevented from being productive. Previously, I have been working hard on my farmland but not anymore. I get sick so I couldnt do agricultural activities. So, farming activities has been weakening in the given period.",186,"6","Farming and Food",136,-1,1
42,48,"However, my family life has been improved because of my trading activities.",187,"5","Farming and Food",136,1,1
42,51,"I am a trader. My business activities helped me to improve my household income over the period. Business activities get better over the period. Increment of income from this activity helped me to improve my family life. The quality and variety of food that my household eats has been improved. I earn money from business activities. So, I have ability to buy variety of food items from market.",188,"5","Farming and Food",137,1,1
22,51,NA,189,"5","Income from other sources",138,1,1
32,51,NA,190,"5","Income from other sources",139,1,1
36,79,NA,191,"5","Income from other sources",139,1,1
18,69,"In the last three years, access to education has been improved a lot. Now, we have satellite schools. We have schools in the nearby village. All my children are attending schools now.",192,"5","Health and Education",140,1,1
12,46,"My family is in good health during the last three years. The government has also given us mosquito nets. So, we are able to prevent malaria.",193,"5","Health and Education",140,1,1
29,86,"This year, I have stopped growing maize because of fearing crop disease related to maize.",194,"6","Farming and Food",141,-1,1
5,83,"However, the amount of production has been diminished due to bad weather condition.",195,"6","Farming and Food",141,-1,1
5,83,"[the amount of production has been diminished due to bad weather condition.] I have also started doing business so as to support my family because farming activity is not going well. I am no longer collecting crops from my own farm for household consumption. Nowadays, we buy most of our food items from the market.",196,"6","Farming and Food",141,-1,1
5,83,NA,197,"6","Farming and Food",142,-1,1
42,51,"[I have also started doing business so as to support my family] Apart from farming activity, I am engaged in business activity that serves me as additional source of income.",198,"5","Income from other sources",143,1,1
33,89,NA,199,"6","Expenditure and Savings",144,-1,1
5,83,NA,200,"6","Overall Wellbeing",145,-1,1
19,53,NA,201,"5","Links to other organisations",146,1,1
7,43,"My family hygiene and sanitation practices get better during this period due to health extension work.",202,"3","Health and Education",147,1,2
5,83,"Farming activity has been disappointing because of bad weather conditions. [Recently, we have been producing crops in lesser quantity. Hence, the amount of food my family eats over the past three years is decreasing.]",203,"6","Farming and Food",148,-1,1
42,51,"I have been doing business to earn money. [Increment of income from non-farming activities helped me to improve my family life.]",204,"5","Income from other sources",149,1,1
42,48,NA,205,"5","Overall Wellbeing",150,1,1
17,44,"With respect to health, things have been improved a lot since the establishment of health care center on nearby village.",206,"5","Health and Education",151,1,1
18,69,"In addition, schools have been constructed in places within safe physical reach. This helped us a lot. Previously, our children have to go to other town to pursue their education. But that is no longer the case.",207,"5","Health and Education",151,1,1
23,83,"In the last three years, my farming production goes down because of expropriation of my farmland for development project, i.e. building school. I have been given substitute land but it is not as fertile as the original one. As a result, it affected the amount of farming production. Previously, I used to produce abundantly so as to sell out in market. However, that has been changed over this period since the expropriation of my farmland. The farmland which has been given in substitute is not productive.",208,"6","Farming and Food",152,-1,1
23,88,"Moreover, I dont own large livestock because of lack of pasture land. I have sold my livestock after expropriation of my farmland.  Currently, I have one ox and one cow.",209,"6","Farming and Food",152,-1,1
23,83,NA,210,"6","Farming and Food",153,-1,1
23,83,NA,211,"6","Farming and Food",154,-1,1
23,83,"Expropriation of our fertile farmland affected us a lot. Since the expropriation of our fertile land, we have been struggling to make ends meet. We couldnt make any purchase.",212,"6","Income from other sources",155,-1,1
23,80,NA,213,"5","Expenditure and Savings",156,1,1
23,90,"He is financially struggling since the expropriation of our farmland.",214,"6","Relationships (Household)",157,-1,1
7,43,"In the last three years, things have been improved a lot in term of health, hygiene and sanitation because of intensive works by Wolaita Development Association (WDA). WDA has been educating us about health, hygiene and sanitation. We have built toilet since then. Moreover, WDA has imparted information about health issues, and eating nutritious food. The health information we received from WDA has helped us a lot.",215,"1","Health and Education",158,1,3
8,56,"WDA helped us to grow vegetables like carrot, cabbages, red potatoes, tomatoes and others over the last three years. Thanks to their effort, we are able to save in cash.",216,"1","Health and Education",158,1,3
5,83,"In the last three years, I wasnt able to produce as intensively compared to the previous years. Perhaps, it is the bad weather condition. This year, I have produced maize in lesser quantity. Over the last three years, the production amount goes down. The market return of my farming product is low so I couldn't cover the costs related to fertilizer.",217,"6","Farming and Food",159,-1,1
3,86,"In addition to this, physical disability on my hand reduced my productivity. I cannot work on my farm instead I have to hire someone who works on my land. [That reduced my income and affected the amount of food my household eats during this period.]",218,"6","Farming and Food",159,-1,1
21,56,"I have been saving at WDA so I managed to own poultry.",219,"1","Farming and Food",159,1,3
3,86,"Moreover, the physical disability hindered me from working intensively in the farming land. I have to rent my land to other able man due to my disability. That reduced my income and affected the amount of food my household eats during this period.",220,"6","Farming and Food",160,-1,1
5,83,NA,221,"6","Income from other sources",161,-1,1
21,56,"I am saving 7 birr per week at WDA. I have borrowed money to cover costs of my childrens education.",222,"1","Expenditure and Savings",162,1,3
20,63,NA,223,"1","Relationships (Community)",163,1,3
5,87,NA,224,"6","Overall Wellbeing",164,-1,1
5,100,NA,225,"6","Overall Wellbeing",164,-1,1
7,43,NA,226,"1","Links to other organisations",165,1,3
2,74,NA,227,"5","Farming and Food",166,1,1
21,56,"Besides farming activity, I do business. I sell coffee on market. The money I saved at WDA helped me to engage in business activity. [My business activity helped me to support my family.]",228,"1","Income from other sources",167,1,3
21,56,NA,229,"1","Expenditure and Savings",168,1,3
2,74,NA,230,"5","Relationships (Household)",169,1,1
21,82,NA,231,"1","Overall Wellbeing",170,1,3
21,55,NA,232,"1","Links to other organisations",171,1,3
5,83,"In the last three years, our farming production has been diminished a lot. In previous years, we produce crops in higher quantity but not anymore. Currently, we are producing beans. Though we have sowed maize, teff and potatoes, we have lost it because of the bad weather condition.",233,"6","Farming and Food",172,-1,1
6,83,"Our farming land is not productive; infertility of the land has affected our production and harvest amount.",234,"6","Farming and Food",172,-1,1
15,50,"Last year, the organization called Sendika' has given me seeds of vegetable like cabbage and others. I have produced vegetable for household consumption and I have also earned money by selling the surplus product.",235,"1","Farming and Food",172,1,3
4,86,"However, I have stopped growing vegetable when I got pregnant. Growing vegetable is a bit demanding so given my situation I couldnt do that. My farming activity reduced during childbearing period.",236,"6","Farming and Food",172,-1,1
2,100,NA,237,"6","Farming and Food",173,-1,1
2,86,"Previously, I have been doing business. However, I quit doing business during childbearing period. [Income worse due to stopping business].",238,"6","Income from other sources",174,-1,1
33,89,NA,239,"6","Expenditure and Savings",175,-1,1
4,86,NA,240,"6","Overall Wellbeing",176,-1,1
15,50,"Important link to Sendika - It provided me improved seeds of vegetable. Last year, I managed to produce vegetable for household consumption. I have also made profit by selling the surplus product.",241,"1","Links to other organisations",177,1,3
21,57,"Furthermore, the same organization lends us money. Last year, I have borrowed money to start business. I was able to engage in business activity following their finaciacial assistance.",242,"1","Links to other organisations",177,1,3
10,53,"I have also owned poultry due to the support provided by the organization.",243,"1","Links to other organisations",177,1,3
5,83,"In the last three years, farming activities has been getting worse due to bad weather condition. Amount of farming production has diminished a lot. Farming land is no longer productive. I have been producing maize, teff and peas. However, I have been producing those crops in lesser quantity compared to the previous years. [Climate change has negatively affected my farming activity. I am no longer producing surplus crops for market in order to earn money. I mainly produce for household consumption.]",244,"6","Farming and Food",178,-1,1
25,83,"In addition to working on my farmland, I have rented land from others so as to increase my farming production.",245,"5","Farming and Food",178,1,1
42,51,NA,246,"5","Income from other sources",179,1,1
5,83,NA,247,"6","Overall Wellbeing",180,-1,1
35,44,NA,248,"5","Health and Education",181,1,1
3,86,"Our health condition has a huge impact on farming activities.",249,"6","Farming and Food",182,-1,1
35,44,"[However, recently, my health condition is getting better after being healed by divine intervention.] In addition, I do business. I have started doing business since my health condition gets better. [I have been doing business. Increment in income from my business activity helped me to improve my life.]",250,"5","Farming and Food",182,1,1
35,44,NA,251,"5","Farming and Food",183,1,1
42,48,NA,252,"5","Income from other sources",184,1,1
42,51,NA,253,"5","Income from other sources",185,1,1
3,90,NA,254,"6","Expenditure and Savings",186,-1,1
42,48,NA,255,"5","Overall Wellbeing",187,1,1
35,44,NA,256,"5","Overall Wellbeing",187,1,1
25,50,"Besides working on our farmland, my husband has rented farmland from his brothers so as to produce more crops. We have been producing maize, beans, coffee, and potatoes. This year, we have been producing beans for market in order to earn money. Hence, we were able to cover expenses of fertilizer, tax and others. We also managed to pay for health insurance. I have one cow for milking, and sheep.",257,"5","Farming and Food",188,1,1
33,90,NA,258,"6","Income from other sources",189,-1,1
33,90,NA,259,"6","Overall Wellbeing",190,-1,1
1,95,NA,260,"6","Health and Education",191,-1,1
14,53,"Last year, an organization called Sendika' has given me one sheep, and year after I managed to have two more.",261,"1","Farming and Food",192,1,3
5,84,NA,262,"6","Farming and Food",193,-1,1
42,51,NA,263,"5","Farming and Food",194,1,1
15,60,NA,264,"1","Farming and Food",195,1,3
19,51,NA,265,"5","Income from other sources",196,1,1
33,90,"I have been spending money to cover living expenses. I also spend money to attend social events. I have spent more money for childrens education. I have to send money to my son who is attending nursing diploma course in Arba Minich town. Moreover, I spend money to meet my other children's demand like buying shoes and clothes for children. Even the price of shoes and outfits has become expensive. For instance, I have to spend 500 to 600 hundred birr.",266,"6","Expenditure and Savings",197,-1,1
10,65,"I am actively involved with Sendika organization activities. I am member of committee. I have also shared my Sendika experiences to my neighbors. For example, one neighbor who employed vegetable growing method, has produced surplus carrots for market, and made huge profit. Similarly, my activity with Sendika inspired the other neighbor who ended up taking sheep and managed to make profit.",267,"1","Relationships (Community)",198,1,3
15,51,NA,268,"1","Links to other organisations",199,1,3
14,51,NA,269,"1","Links to other organisations",199,1,3
19,51,NA,270,"5","Links to other organisations",200,1,1
19,86,NA,271,"6","Links to other organisations",200,-1,1
7,43,"In the last three years, my family health condition has been good. We have been changed a lot due to health education provided by government.",272,"5","Health and Education",201,1,1
8,72,"I have been producing teff, vegetables, maize and others. The type of crops we plant depends on the seasons. I have been producing more compared to the previous years. I have recently harvested teff.  I have been producing cabbage. There has been change in farming activity thanks to the government intervention. Agricultural officers have educated us about best method of farming. Such kind of intervention has helped me a lot. [My household income has improved because of increment of income from farming products over the period.]",273,"3","Farming and Food",202,1,2
8,51,"[There has been change in farming activity thanks to the government intervention...My household income has improved because of increment of income from farming products over the period.]The amount of food my household eats has also increased because of improvement in household income.",274,"3","Farming and Food",203,1,2
8,50,"My household income has been improved over time. [My household income has improved because of increment of income from farming products over the period...Farming production increased due to agricultural training]",275,"1","Income from other sources",204,1,3
3,86,NA,276,"6","Relationships (Household)",205,-1,1
3,96,NA,277,"6","Overall Wellbeing",206,-1,1
21,56,NA,278,"1","Links to other organisations",207,1,3
40,72,"We (my husband and I) have been producing more of crops in quantity over the past three years. Last year, I have produced vegetables by applying farming method employed by my neighbors who are linked with Sendika' organization. I am not member of Sendika organization though. [Increase of farming production has improved my household income.]",279,"1","Farming and Food",208,1,3
23,86,"This year, I have stopped growing vegetable because of the construction taking place on my land.",280,"6","Farming and Food",208,-1,1
40,72,"[Produced vegetables by applying farming method employed by my neighbours who are linked to SAC]. The amount of production and harvest has been increased during the last three years because of the hard work, and using organic fertilizer like animal wastes. We use non-organic fertilizer for teff and maize. Moreover, we often grow more of those crops fitting the season best. We produce for household consumption as well as for market to earn money.",281,"1","Farming and Food",208,1,3
40,50,"[We produce for household consumption as well as for market to earn money.] Increase of farming production has improved my household income. There has been high market return of our farming products.",282,"1","Farming and Food",209,1,3
40,50,"[Increase of farming production has improved my household income. ] The amount of food my household eats has increased over this period because our income has been increased.",283,"1","Farming and Food",210,1,3
40,50,"During the last three years, our income has been increased. We have been producing crops intensively for market. We have produced potatoes in higher quantity. [Employed method of SAC beneficiary and improved production.]",284,"1","Income from other sources",211,1,3
21,56,"During the last years, I have spent more money to contribute to Equib' (traditional saving institution). I am contributing money monthly and yearly for Equib. Moreover, I have been spending money to buy variety of food items, clothes and outfit to my kids. I have been saving money with Equib. I am member of three Equib, one is 8000 birr Equip, and the others are 11000 birr and 14000 birr Equib.",285,"5","Expenditure and Savings",212,1,1
40,72,NA,286,"1","Expenditure and Savings",213,1,3
40,72,NA,287,"1","Expenditure and Savings",213,1,3
40,72,NA,288,"1","Overall Wellbeing",214,1,3
40,72,NA,289,"1","Overall Wellbeing",214,1,3
7,44,NA,290,"3","Health and Education",215,1,2
31,83,"Over the last three years, farming activity is unsatisfactory because the price of fertilizer and seeds has become expensive. Those factors have affected my farming production ability.",291,"6","Farming and Food",216,-1,1
5,83,NA,292,"6","Farming and Food",217,-1,1
5,83,NA,293,"6","Farming and Food",218,-1,1
5,83,NA,294,"6","Income from other sources",219,-1,1
33,88,"I have been selling my livestock to cover costs of living and costs of childrens education. My asset has gone down over this period.",295,"6","Expenditure and Savings",220,-1,1
5,96,NA,296,"6","Overall Wellbeing",221,-1,1
23,96,NA,297,"6","Overall Wellbeing",222,-1,1
3,105,NA,298,"8","Health and Education",223,-1,0
51,53,NA,5,"5","Income from other sources",3,1,1
90,95,"Im feeling sick and weak; I had an operation some time ago and the operation 'reduced' my blood. Both of my children have dropped out from school to look for income source to supplement our meagre income. So they are now engaged in trading.",8,"6","Health and Education",6,-1,1
84,100,"The heavy rain resulted in flood which washed away our crops. [The weather change accompanied by flood left us with shortage of food.]",11,"6","Farming and Food",8,-1,1
51,52,NA,13,"5","Income from other sources",10,1,1
49,51,"The farming has been very good and I was productive in the past three years. For example I produce about 10 quintals of teff per plot of land and I have benefited a lot from it. I also have grown maize, beans, oats and have benefited a lot. I have also received support through send organization'. I have started growing vegetables like cabbage, carrot, potato, beetroots and have benefited a lot...I was able to build a new house with the increased income.",18,"1","Farming and Food",13,1,3
51,54,"Send organization also gave me sheep and that helped me a lot in my life... I was able to build a new house with the increased income.",19,"1","Farming and Food",13,1,3
50,51,"They have also provided me with materials used for farming activity that helped me a lot to enhance my productivity. [The increased production of teff and maize, with increased price, helped us to get better income.] I was able to build a new house with the increased income.",20,"1","Farming and Food",13,1,3
61,62,"But now we store foods like maize ahead of the coming of hungry season which starts from 5th month of the year. So producing surplus and storing food helped us to eat better during hungry season. [Production increased due to SAC training and support.]",22,"1","Farming and Food",15,1,3
72,50,NA,23,"1","Farming and Food",16,1,3
72,51,"[Improved farming production due to SAC support]. The increased farming activity helped me to get better income which further enhanced my trading activity. So trading is helping me to augment my income.",25,"1","Income from other sources",18,1,3
51,53,"My diligence, with the help I got from Send organization, helped me to augment my income and to buy those assets.",26,"1","Expenditure and Savings",19,1,3
95,93,"I have been sick in the past few years and my whole body feels weak. My elder son is also sick and that is why he dropped out of his education. Two of my children migrated to other areas in seeking better jobs. They have dropped out of school. Since the death of my husband it is me who is suffering a lot to win the bread for my family.",31,"6","Health and Education",23,-1,1
83,93,"The fertility of land is declining and it is not giving good product. Many of my sons migrated to other areas due to the declining of production from the land.",33,"6","Farming and Food",25,-1,1
83,100,NA,34,"6","Farming and Food",26,-1,1
93,67,"[Many of my sons migrated to other areas due to the declining of production from the land.] The rest are living in other areas but they help me in sending me remittance (up to 200 or 300 birr).",38,"5","Relationships (Household)",29,1,1
51,54,"We earn good income from the non-farm activities we both are engaged in. He gets good income from daily labour and I also earn meaningful income from the petty trade Im engaged in [My husband works on a stone quarry that serves for construction activity and I also sell injera at market.] We have recently built a new iron corrugated house due to our improved income.",41,"5","Income from other sources",32,1,1
51,52,"Most of our spending goes to purchasing basic necessities of food items and clothes. Though the cost is rising we can afford it due to increased income. 
My husband saves money through depositing it in shufuwa (local informal association for saving money) and I also deposit it in idir association in our locality.",42,"5","Expenditure and Savings",33,1,1
86,96,NA,45,"6","Overall Wellbeing",36,-1,1
83,90,"Expenditure is higher than my income due to declining fertility of land and erratic rainfall that resulted in declining yield of agricultural products.",49,"6","Expenditure and Savings",40,-1,1
51,50,NA,52,"5","Overall Wellbeing",42,1,1
43,46,"The heath extension has been teaching us how to keep hygiene and sanitation and we make a great deal of care concerning it. We dont suffer from any epidemics as we used to suffer.",55,"3","Health and Education",43,1,2
83,100,"Most of the time we rely on utta (iset/False banana) for feeding. But now utta (inset) is also drying due to climate change. We used to produce and eat sweet potato, maize, and other crops. But now it is declining. [It is due to climate change that the amount of food my household eats during hungry season is decreasing.]",59,"6","Farming and Food",44,-1,1
83,87,NA,60,"6","Farming and Food",45,-1,1
83,91,NA,61,"6","Income from other sources",46,-1,1
83,91,"[The climate change has posed great challenge in finding enough food from our farm.] So whatever income we get, it is not more than our costs. We have also to purchase food since the land is not as productive as it used to be.",62,"6","Expenditure and Savings",47,-1,1
90,89,NA,63,"6","Expenditure and Savings",48,-1,1
93,99,NA,65,"6","Relationships (Community)",50,-1,1
43,46,"Regarding health, thanks to God that our health situation has improved over the last three years. Because health extension workers are carrying out their activities better than before and training us about the health of both children and adults. They are educating us about importance of breast feeding. We have been made aware that until the infant reaches 6 months it should not be served food, for its good health. And hence breast fed children grow healthy. Before we were trained about the health of children, our children used to suffer from different diseases. Pregnant women are also made aware to make follow up about their status beginning from fourth months after the onset of pregnancy up to sixth months. They also give birth at health institutions. Hence the health of children, pregnant women and also the health of adults has improved. They are no longer being affected by diseases such as malaria, as it was before. God is doing great things for our health through health extension workers.",67,"3","Health and Education",52,1,2
43,44,"Regarding health, thanks to God that our health situation has improved over the last three years. Because health extension workers are carrying out their activities better than before and training us about the health of both children and adults. They are educating us about importance of breast feeding. We have been made aware that until the infant reaches 6 months it should not be served food, for its good health. And hence breast fed children grow healthy. Before we were trained about the health of children, our children used to suffer from different diseases. Pregnant women are also made aware to make follow up about their status beginning from fourth months after the onset of pregnancy up to sixth months. They also give birth at health institutions. Hence the health of children, pregnant women and also the health of adults has improved. They are no longer being affected by diseases such as malaria, as it was before. God is doing great things for our health through health extension workers.",68,"3","Health and Education",52,1,2
47,43,"Drinking tap water flows from Damot mountain. We have been drinking tap water flowing from damot mountain for three or four years now. It is being served in this school and we also use it for sanitation. For other activities we use well water. I have it in my compound. I lock and open to use it. Regarding water the situation is very good. Our children are following their education very well.",70,"3","Health and Education",52,1,2
72,48,"Following the training from agricultural extension workers, I engaged in poultry and benefited highly from it. Poultry is different from what the rest of neighbours doing. I didnt produce anything for sale. I did never do that before even, because the production did not surpass home consumption. Previously, there were times when we did not eat our lunch after breakfast but now it is better. Now people can eat three times a day by doing anything including labour works. Now it is becoming better. I myself now can eat three times a day but previously I was struggling. I used to pass a day without any meal before. Now though there is scarcity of grain, people have money. What is your staple food? We use different products of false banana or inset from which  we prepare traditional foods such as blanduwa, uncha bacira. And also we use traditional foods such as boyna (yam) and sweat potato.",75,"3","Farming and Food",53,1,2
52,62,NA,76,"5","Farming and Food",54,1,1
72,51,"In the past three years I have engaged in poultry production to earn income. Why did you begin it?'. The agricultural extension workers advised me to do so. [I have received income from selling of milk and engaged in poultry production that supports my family's income.]",78,"3","Income from other sources",55,1,2
88,87,"Our capacity to own animals also decreased due to the loss of the common grazing land. As I am poor I own cattle in share with other rich people (engaged in share-rearing). However, the share holders took back their cattle due to scarcity of common grazing land. I wish I could rear my own but now I dont because I don't have money to buy any. [Income worse due to declining productivity of farming and lack of ox to plough.]",87,"6","Farming and Food",61,-1,1
51,52,NA,88,"5","Farming and Food",62,1,1
51,52,NA,89,"5","Farming and Food",62,1,1
47,43,"We have access to tap water and also we have well water in front of our house. I dug the well water but an organization called Send A Cow came and cemented it. The well water is used for sanitation and animals. For drinking water we use tap water.",91,"1","Health and Education",64,1,3
51,56,NA,94,"5","Income from other sources",66,1,1
90,89,NA,97,"6","Expenditure and Savings",69,-1,1
64,63,NA,98,"5","Relationships (Community)",70,1,1
43,44,"Thank God, our health situation has improved over the last three years. It is because we keep our sanitation and hygiene well. We also treat our children properly. We eat our meals on time. We keep sanitation of children and environment. Health extension workers trained us to do so.",99,"3","Health and Education",71,1,2
83,87,NA,101,"6","Farming and Food",73,-1,1
51,53,"Using the income from my husband that he earned working as a foreman and from my petty trading, we bought a Bajaj vehicle. Now my husband generates income from the Bajaj vehicle.",103,"6","Income from other sources",75,-1,1
64,63,"People are developing good attitudes towards cooperative working. We have already school for our community. We do have also tap water in the kebele compound though it is at distant for us. Thus, we drink pump water that is near to us. They [kebele officials] organized  30 adjacent households as one team having one leader. This further formed a group of 1-5 network.",107,"5","Relationships (Community)",79,1,1
103,101,"I am sharecropped out my land. As my husband is not with me I cannot cultivate because I am a woman. The problem with sharecropping is that these who share with me come late. They come to plough the land late after they have already ploughed their own. This leads to less production at the end of the day. Had we cultivated timely it could give us good production. The production is even reduced from what it had been before. The sharecroppers have no sense of ownership. I did never sale farm products. Even it is not sufficient for my home consumption. Previously we used to eat meat, cottage cheese, and butter. But now we dont. Women cannot afford to eat meat with absence of men's or husbands' financial support.",110,"6","Farming and Food",81,-1,1
101,83,"I am sharecropped out my land. As my husband is not with me I cannot cultivate because I am a woman. The problem with sharecropping is that these who share with me come late. They come to plough the land late after they have already ploughed their own. This leads to less production at the end of the day. Had we cultivated timely it could give us good production. The production is even reduced from what it had been before. The sharecroppers have no sense of ownership. I did never sale farm products. Even it is not sufficient for my home consumption. Previously we used to eat meat, cottage cheese, and butter. But now we dont. Women cannot afford to eat meat with absence of men's or husbands' financial support.",111,"6","Farming and Food",81,-1,1
83,87,"Income from farming has reduced from what it had been before. Because people are treacherous and the fertility of the soil has also declined and doesnt yield as before. Previously farmers had three to four stores of grain but now farmers struggle to feed themselves.",112,"6","Farming and Food",82,-1,1
83,91,"Income from farming has reduced from what it had been before. Because people are treacherous and the fertility of the soil has also declined and doesnt yield as before. Previously farmers had three to four stores of grain but now farmers struggle to feed themselves.",113,"6","Farming and Food",82,-1,1
101,83,"Fertilizer distribution is unfair as they first distribute to rich people. Then the poor lately buy fertilizer form the market which has less quality. Thus, coupled with late seed sowing, leads to less production.",114,"6","Farming and Food",82,-1,1
102,83,"Fertilizer distribution is unfair as they first distribute to rich people. Then the poor lately buy fertilizer form the market which has less quality. Thus, coupled with late seed sowing, leads to less production.",115,"6","Farming and Food",82,-1,1
90,89,"The expenditure outweighs our income. If the income is 30 birr the expenditure is 60 birr. The reason is that the prices of goods that we buy from the market has increased while the income we earn couldnt increase proportionally. We spend much of our income to purchase food items. We pay for everything except house and water. [Decreased purchaing power due to increased living cost.]",117,"6","Expenditure and Savings",84,-1,1
83,89,NA,118,"6","Expenditure and Savings",85,-1,1
43,46,"The health condition of my family is very well. Im working as 'Bego melekitegna' (Role model) in the kebele for my good achievement and performance.  We always keep the water in the container closed. We don't suffer from diarrhoea as we used to suffer some few years ago. The white people came here and demonstrated to us how to filter water using sand and 'halakuwa' (herbal plant).",119,"3","Health and Education",86,1,2
72,50,"The farming is good now since the past few years. We used to purchase food items from the market but now we produce from the farm. We use biogas and solar following the support we got from [WDA]. So we are now leading better life. The compost we got from biogas helped us to increase the fertility of land and to reduce the cost of fertilizer. It is three people with me who are using biogas technology in our locality while the other members of the community refused to use it. The biogas is helping us to prepare food, to get light, as well as to increase fertility of the soil.",120,"1","Farming and Food",87,1,3
48,59,"We have started producing bean which was very productive in Humbo woreda. We also produce vegetables like carrot, tomato and others getting support from Wolaita development association. The vegetables helped us to supplement our livelihood in past two years...[Reason for improved quality of food: produce vegetables.]",121,"1","Farming and Food",87,1,3
83,87,"...though its productivity is declining this year due to heavy heat from sun. [Reason for worse income: the erratic rainfall and change in the wind has affected our harvest.]",122,"6","Farming and Food",87,-1,1
48,62,NA,123,"1","Farming and Food",88,1,3
72,50,"We are using biogas [from WDA], solar which enhanced our productivity. We are also using compost instead of fertilizer. So increased production helped us to eat better.",124,"1","Farming and Food",89,1,3
56,76,"It has been three years since I started saving in Wolima organization (Wollayita development association). We save for the money that would help us to deposit some assets for our children in the future and for emergencies cases.",125,"1","Expenditure and Savings",90,1,3
57,53,"It has been three years since I started saving in Wolima organization (Wollayita development association). We save for the money that would help us to deposit some assets for our children in the future and for emergencies cases. I have borrowed money from Wolima to buy biogas.",126,"1","Expenditure and Savings",90,1,3
50,51,"However, this year it is better as the rain rained at its regular time. Thus, the income we get from farming is improving as the production became good.",136,"5","Farming and Food",98,1,1
89,88,NA,137,"6","Income from other sources",99,-1,1
56,57,NA,138,"1","Expenditure and Savings",100,1,3
